Index,SMILES,ER Binding True,CERAPP ER Binding Consensus,HC ER Binding RF,ER Agonist True,CERAPP ER Agonist Consensus,HC ER Agnoist RF,ER Antagonist True,CERAPP ER Antagonist Consensus,HC ER Antagonist RF
113,CC(C)(C)C1=CC(C=C2SC(=N)NC2=O)=CC(=C1O)C(C)(C)C,,,,,,,1,0,1
114,CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,0,1,1,0,1,1,0,1,0
115,NNC1=NC(=CS1)C1=CC=C(N)C=C1,0,0,0,0,0,0,0,0,0
116,CCC1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0
117,CCCCCC(N)=O,0,0,0,0,0,0,0,0,0
118,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,,,,0,,1,0,,0
119,N(N=NC1=CC=CC=C1)C1=CC=CC=C1,1,0,1,,,,,,
120,CC(OC(C)=O)OC(=O)C(C)C1=CC=C(C(F)=C1)C1=CC=CC=C1,0,0,0,0,0,1,0,0,1
121,OC(=O)C1=CC2=C(C=CC=C2)C=C1O,,,,,,,0,0,0
122,OC(=O)C(CC1=CC(=O)NC2=CC=CC=C12)NC(=O)C1=CC=C(Cl)C=C1,0,0,,0,0,,0,0,
123,CC(=O)NC1=CC=CC(C)=C1,0,0,0,0,0,0,0,0,0
124,CCNC1=CC=C(C(C2=CC=C(C=C2)N(CC)CC)=C2C=CC(C=C2)=[N+](CC)CC)C2=C1C=CC=C2,,,,,,,1,0,
125,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,0,0,0,0,0,0,0,0,0
126,COC(=O)CCCCCCCCC(=O)OC,0,0,0,0,0,0,0,0,0
127,OCCCCCO,,,,,,,0,0,0
128,CCCCCCCCC=CCCCCCCCCO,0,0,0,0,0,0,0,0,1
129,CCCSSCCC,0,0,0,0,0,0,0,0,0
130,CCO[Si](CC(C)C)(OCC)OCC,0,0,0,0,0,0,0,0,0
131,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,0,0,0,0,0,0,0,0,0
132,CCCCCCC1(C)CCC(=O)O1,0,0,0,0,0,0,0,0,0
133,OC(=O)C=CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1[n]cc[s]1,0,,0,0,,0,0,,0
134,NC1=CC=C(C=C1)C(O)=O,0,0,0,0,0,0,0,0,0
135,CC1=CC2=C(N=C1)C(C(O)=O)=C(Cl)C=C2,0,0,0,0,0,1,0,0,0
136,OCCN(C(=O)CO)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I,0,0,,0,0,,0,0,
137,CC1=C(C(=O)NC2=CC=CC=C2)S(=O)(=O)CCO1,0,0,0,0,0,0,0,0,0
138,CCOP(=S)(OCC)OC1=NN(C=N1)C1=CC=CC=C1,,,,,,,0,0,1
139,CS(=O)(=O)C1=CC=C(C=C1)C(O)C(COC(=O)CN)NC(=O)C(Cl)Cl,0,0,0,0,0,0,0,0,0
140,CCCCCC[N+]1=CC=CC=C1,,,,0,0,0,,,
141,CNS(=O)(=O)CCC1=CC=C2NC=C(C3CCN(C)CC3)C2=C1,0,0,0,0,0,0,0,0,0
142,CN=C1C=CC(C=C1)=C(C1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,,,,,,,1,0,1
143,CCCCCO,0,0,0,0,0,0,0,0,0
144,CCNC(=O)C(C)OC(=O)NC1=CC=CC=C1,0,0,0,0,0,0,0,0,0
145,CCCCC=CCCCCCCCCCC=O,,,,,,,0,1,0
146,CN(N=O)C1=CC=C(C=C1)[N+]([O-])=O,0,0,0,0,0,0,0,0,0
147,CC1=CC=C(OC(=O)C2=C(O)C=CC=C2)C=C1,0,1,1,0,1,1,0,1,0
148,COC(=O)CC#N,0,0,0,0,0,0,0,0,0
149,C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0
150,CCCCCCCCOC(=O)C=C,0,0,0,0,0,0,0,0,0
151,CN(C(=S)OC1=CC=C2CCCC2=C1)C1=CC(C)=CC=C1,0,1,0,0,0,0,0,0,1
152,CS(=O)(=O)Nc1cc2OCC(=NC=O)C(=O)c2cc1Oc1ccccc1,0,0,0,0,0,0,0,0,0
153,FC(F)(F)C1=CC(NC2=C(C=CC=N2)C(=O)OC2OC(=O)C3=C2C=CC=C3)=CC=C1,0,0,0,0,0,0,0,0,1
154,CCCCCCI,0,0,0,0,0,0,0,0,0
155,O=C1OC(=O)C2=CC3=C(C=C12)C(=O)OC3=O,0,0,0,0,0,1,0,0,0
156,CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=N(=O)C1,0,0,0,0,0,0,0,0,1
157,OC1=CC=C(Cl)C=C1SC1=CC(Cl)=CC=C1O,,,,0,1,1,,,
158,CC(C)C1=CC=C(OP(=O)(OC2=CC=C(C=C2)C(C)C)OC2=CC=C(C=C2)C(C)C)C=C1,,,,,,,0,0,
159,[O-][N+](=O)C1=CC=C2C(=O)NC(=O)C2=C1,0,0,0,0,0,0,0,0,0
160,CN(C)C(=O)OC1=CC(=CC(OC(=O)N(C)C)=C1)C(O)CNC(C)(C)C,0,0,0,0,0,0,0,0,1
161,C(COCC1CO1)OCC1CO1,0,0,0,0,0,0,0,0,0
162,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(O1)c(C)c(C)c(OC(=O)CCC(=O)OCCO)c2C,,,,0,0,,,,
163,CCCCCCNC(=O)N1C=C(F)C(=O)NC1=O,0,0,0,0,0,0,0,0,0
164,CCCCCCOC(C)=O,0,0,0,0,0,0,0,0,0
165,CC(N)CN,0,0,0,0,0,0,0,0,0
166,CC(=C)C(=O)OCC1=CC=CC=C1,0,0,0,0,0,0,0,0,0
167,CC12CCC3C4CCCC=C4CCC3C1CCC2(O)CC,1,1,1,1,1,1,0,1,1
168,OC1=CC2=C(C=C1)C(=O)C1=C(C=CC(O)=C1)C2=O,1,1,1,1,1,1,,,
169,OC(=O)CC1=CSC(=N1)C1=CC=C(Cl)C=C1,0,0,0,0,0,0,0,0,0
170,NC(=O)C1C2=CC=CC=C2CCC2=CC=CC=C12,0,0,0,0,0,1,0,0,0
171,CC12CC(O)C3C(CCC4=CC(=O)C=CC43C)C1CCC2(O)C(=O)COC(=O)CCC(O)=O,0,1,0,0,1,1,0,1,0
172,[O-][N+](=O)C1=CC=CC(CCl)=C1,0,0,0,0,0,0,0,0,0
173,CC1CCCC(=O)CCCCCc2cc(O)cc(O)c2C(=O)O1,1,1,1,1,1,1,,,
174,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2OC(O)(CC(O)C2C(O)=O)CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)OC1OC(C)C(O)C(N)C1O,0,,,0,,,0,,
175,CC1=CC=C(C)C2=C1C=CC=C2,0,0,0,0,0,1,0,0,0
176,NC1=CC(=CC2=C1C(O)=CC(=C2)S(O)(=O)=O)S(O)(=O)=O,0,0,,0,0,,0,0,
177,CC1N=C(COCCN)C(C(C=1C(=O)OC)c1ccccc1Cl)C(=O)OCC,,,,,,,0,0,0
178,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2(C#C)OC(=O)CCCCCC,,,,1,,1,0,,1
179,CCOC(=O)COC1=C(Cl)C=C(F)C(=C1)C1=NN(C)C(OC(F)F)=C1Cl,0,0,0,0,0,0,0,0,1
180,CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O,0,0,0,0,0,0,0,0,0
181,CCC(N)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0
182,CC(C)NCC(O)COC1=C2C=CC=CC2=CC=C1,,,,0,0,0,0,0,1
183,C(CC1=CC=CC=C1)CC1=CC=NC=C1,0,0,0,0,0,0,0,0,0
184,CNC(NCCSCC1=C(C)NC=N1)=NC#N,0,0,0,0,0,0,0,0,0
185,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,0,0,0,0,0,0,0,0,0
186,CCCCNC(=O)NCCCC,0,0,0,0,0,0,0,0,0
187,CC(CCC(O)=O)C(O)=O,0,0,0,0,0,0,0,0,0
188,COC1=CC=CC=C1NC(=O)C1=CC2=C(C=CC=C2)C=C1O,,,,0,1,1,1,1,1
189,CC(=O)NC1C(OC(=CC1NC(N)=N)C(O)=O)C(O)C(O)CO,0,0,,0,0,,0,0,
190,OC(=O)C1=CC(C(O)=O)=C(C=C1)C(O)=O,0,0,,0,0,,0,0,
191,CC1CS(=O)(=O)CCN1N=CC1=CC=C(O1)[N+]([O-])=O,0,0,0,0,0,0,0,0,0
192,OC(=O)CC1=CC=C(OCC=C)C(Cl)=C1,,,,1,0,1,0,0,0
193,CCCCCCCCCCCC(=O)OCC(O)CO,0,0,0,0,0,0,0,0,0
194,CC(=O)C1=CC=CC(=C1)[N+]([O-])=O,0,0,0,0,0,0,0,0,0
195,C=CC1CSC2C(NC(=O)C(N=O)c3c[s]c(N)[n]3)C(=O)N2C=1C(O)=O,0,0,,0,0,,0,0,
196,COCC(C)O,,,,,,,0,0,0
197,CN1C(N)=NC2=C1C=CC1=C2C=CC=N1,0,0,0,0,0,1,0,0,0
198,OCCCCCCCCCCCCBr,0,0,0,0,0,0,0,0,0
199,ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl,,,,0,0,,,,
200,OP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,0,0,1,0,0,1,0,0,0
201,ON1N=NC2=C1C=CC=C2,0,0,0,0,0,0,0,0,0
202,O=C1NC2=C(O1)C=CC=C2,0,0,0,0,0,0,0,0,0
203,CC(C)=CCO,0,0,0,0,0,0,0,0,0
204,COc1ccc2CN(C)CCC34C=CC(O)CC3Oc1c42,0,0,0,0,0,0,0,0,1
205,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,,,,0,0,0,0,0,0
206,CC1OC(OC2C(NC(N)=N)C(O)C(NC(N)=N)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2NC)C1(O)CO,,,,,,,0,0,
207,OC1=CC=C(Cl)C2=C1CCC2,0,1,1,0,0,1,0,1,0
208,NC1=NC(=NC(N)=N1)C1=CC(Cl)=CC=C1Cl,0,0,0,0,0,0,0,0,0
209,OC(=O)C1=CC=C(Cl)C=C1Cl,,,,0,0,0,0,0,0
210,NC1=CC(N)=C(C=C1)N=NC1=CC=C(C=C1)C1=CC=C(C=C1)N=NC1=C(C=C2C=C(C(N=NC3=CC=CC=C3)=C(O)C2=C1N)S(O)(=O)=O)S(O)(=O)=O,0,0,,0,0,,0,0,
211,NC1=CC=C(NC2=CC=CC=C2)C=C1,0,0,0,0,0,0,0,0,0
212,CC12CCC(O)CC1CCC1C2CCC2(C)C(CC3OC213)C1C=CC(=O)OC=1,,,,,,,0,1,1
213,CCCCCCOC1=CC(C)=C(O)C(C)=C1C,0,1,1,0,1,1,0,1,1
214,CCNC(=O)NCC1=CC(Cl)=CC=C1,0,0,0,0,0,0,0,0,0
215,CCOP(=S)(OCC)ON=C(C#N)C1=CC=CC=C1,,,,,,,0,1,0
216,ClC1=CC(=CC=C1)N=NC(C#N)C#N,,,,0,0,0,1,0,0
217,CCCCCCCCS(=O)C(C)CC1=CC2=C(OCO2)C=C1,,,,0,0,1,1,0,1
218,CC12CCC3C4CCCC=C4CCC3C1CCC2(O)CC=C,,,,1,1,1,0,1,1
219,ClC1=CC=C(C=C1Cl)C(Cl)(Cl)Cl,0,0,0,0,0,0,0,0,0
220,CCCC1=CC=C(C=C1)C(O)=O,0,1,0,0,0,0,0,1,0
221,OC(=O)C1=C(Cl)C(=CC(Cl)=C1)[N+]([O-])=O,0,0,0,0,0,0,0,0,0
222,ClC1=C2C(=O)OC(=O)C2=C(Cl)C(Cl)=C1Cl,0,0,0,0,0,1,0,0,0
223,CC1=CC(C)=CC(C)=C1,,,,,,,0,0,0
224,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2C(C)=O,,,,,,,0,1,1
225,CCC1CN2CCc3cc(OC)c(cc3C2CC1CC1NCCc2cc(OC)c(cc21)OC)OC,1,0,,0,0,0,1,0,1
226,COC1=CC=C(CCO)C=C1,0,0,1,0,0,0,0,0,0
227,CC(C(O)=O)C1=CC=C(C=C2CCCCC2=O)C=C1,0,1,0,0,1,1,0,1,0
228,CC1C2C(C(C)O)C(=O)N2C(=C1SC1CC(CNS(N)(=O)=O)NC1)C(O)=O,0,0,0,0,0,,0,0,
229,[O-][N+](=O)C1=CC=CC2=CC=CC(=C12)[N+]([O-])=O,0,0,0,0,0,1,0,0,0
230,CCOc1ccc(cc1)N=Nc1cc(c(cc1)C=Cc1ccc(cc1S(O)(=O)=O)N=Nc1ccc(cc1)OCC)S(O)(=O)=O,0,,,0,,,0,,
231,CN1CCCC1,0,0,0,0,0,0,0,0,0
232,NC(=O)NNC1=CC=CC=C1,0,0,0,0,0,0,0,0,0
233,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(O)=O,0,0,0,0,0,0,0,0,0
234,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,,,,0,0,1,,,
235,CCC(=C)C(=O)C1=CC=C(OCC(O)=O)C(Cl)=C1Cl,,,,,,,0,0,0
236,ClC1=CC=C(C=O)C=C1,0,0,0,0,0,0,0,0,0
237,CCC(C)(N=NC(C)(CC)C#N)C#N,0,0,0,0,0,0,0,0,0
238,CC1CN1P(=O)(N1CC1C)N1CC1C,0,0,0,0,0,0,0,0,0
239,NC1=C(Cl)C=CC(Cl)=C1,,,,,,,0,0,0
240,C1=CC2=C(C=C1)C=NC=C2,0,0,0,0,0,0,0,0,0
241,C1OC1C1=CC=CC=C1,,,,,,,0,0,0
242,OCC(O)COP(O)(O)=O,0,0,0,0,0,0,0,0,0
243,SC(=S)NCCNC(S)=S,1,0,,,,,0,0,
244,CCOP(=S)(OC(C)C)OC1=CN=C(N=C1)C(C)(C)C,0,0,0,0,0,0,0,0,0
245,CC(C)OC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,,,,0,0,1,,,
246,CCCCCCCCCCCCCC(=O)OC(C)C,,,,0,0,0,0,0,0
247,NC(=O)C1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)N1CCCCC1,0,0,0,0,0,0,0,0,1
248,CC1=C(N)C(N)=CC=C1,0,0,0,0,0,0,0,0,0
249,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0,0,0,0,0,0,0,0,0
250,CN1C=C(C2=C1C=CC=C2)C1=C(C(=O)NC1=O)C1=CN(C2CCN(CC3=NC=CC=C3)CC2)C2=C1C=CC=C2,,,,0,0,,,,
251,CC(C)(C)C(NC(=O)OC)C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(cc1)-c1cccc[n]1)NC(=O)C(NC(=O)OC)C(C)(C)C,0,0,,0,0,,0,0,
252,CCCCCCCCCCCCN1CCCCCC1=O,,,,0,0,0,1,0,1
253,CCNCC(C)=C,,,,,,,0,0,0
254,C[N+]1(CC2COC(O2)(C2CCCCC2)C2=CC=CC=C2)CCCCC1,0,0,1,0,0,0,0,0,1
255,O=C1CC(=O)N=CC1Cl,0,0,0,0,0,0,0,0,0
256,CC1=C(CCOP(O)(=O)OP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N,0,0,,0,0,,0,0,
257,CC(O)C(N)C(O)=O,0,,0,0,,0,0,,0
